"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Feb 13 08:55:41 GMT 2023","Mon Feb 13 08:55:41 GMT 2023","2","tests","test_main","TestPageSearch","","","test_mail_search",""
"broken","Mon Feb 13 08:55:41 GMT 2023","Mon Feb 13 08:55:41 GMT 2023","2","tests","test_main","TestPageSearch","","","test_yandex_search",""
"passed","Mon Feb 13 08:55:39 GMT 2023","Mon Feb 13 08:55:40 GMT 2023","1100","tests","test_main","TestPageSearch","","","test_google_search",""
